id,infinitive,past,pastParticiple,meening,createdAt,updatedAt
26,"To build ",built,built,construir,"2021-10-07 12:48:42","2021-10-07 12:48:42"
27,"To burn ",Burnt-burned,Burnt-burned,queimar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
28,"To burst ",burst,burst,Exploder;irromper,"2021-10-07 12:48:42","2021-10-07 12:48:42"
29,"To buy ",bought,bought,comprar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
30,"can(present) could ",Been,able,poder,"2021-10-07 12:48:42","2021-10-07 12:48:42"
31,"To cast ",cast,cast,Arremessar;calcular,"2021-10-07 12:48:42","2021-10-07 12:48:42"
32,"To catch ",caught,caught,agarrar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
33,"To chide ",chid,chidden,Ralhar;censurar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
34,"To choose ",chose,chosen,escolher,"2021-10-07 12:48:42","2021-10-07 12:48:42"
35,"To cleave ",Clove-cleft,Cloven-cleft,Fender;rachar-se,"2021-10-07 12:48:42","2021-10-07 12:48:42"
36,"To cling ",clung,clung,Aderir;unir-se,"2021-10-07 12:48:42","2021-10-07 12:48:42"
37,"To clothe ",Clothed-clad,Clothed-clad,Vestir;revestir,"2021-10-07 12:48:42","2021-10-07 12:48:42"
38,"To come ",came,come,Vir;chegar;acontecer,"2021-10-07 12:48:42","2021-10-07 12:48:42"
39,"To cost ",cost,cost,custar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
40,"To creep ",crept,crept,Rastejar;arrastar-se,"2021-10-07 12:48:42","2021-10-07 12:48:42"
41,"To crow ",Crowed-crew,crowed,Gabar-se,"2021-10-07 12:48:42","2021-10-07 12:48:42"
42,"To cut ",cut,cut,cortar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
43,"To dare ",Dared-durst,Dared-durst,Ousar;desafiar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
44,"To deal ",dealt,dealt,Negociar;distribuir,"2021-10-07 12:48:42","2021-10-07 12:48:42"
45,"To dig ",dug,dug,cavar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
46,"To do ",did,done,Fazer;executar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
47,"To draw ",drew,drawn,Desenhar;arrastar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
48,"To dream ",Dreamt-dreamed,Dreamt-dreamed,sonhar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
49,"Infinitive Past ",Past,Participle,Translation,"2021-10-07 12:48:42","2021-10-07 12:48:42"
50,"To drink ",drank,drunk,beber,"2021-10-07 12:48:42","2021-10-07 12:48:42"
51,"To drive ",drove,driven,Dirigir;impelir,"2021-10-07 12:48:42","2021-10-07 12:48:42"
52,"To dwell ",Dwelt-dwelled,Dwelt-dwelled,Morar;residir,"2021-10-07 12:48:42","2021-10-07 12:48:42"
53,"To eat ",ate,eaten,comer,"2021-10-07 12:48:42","2021-10-07 12:48:42"
54,"To fall ",fell,fallen,cair,"2021-10-07 12:48:42","2021-10-07 12:48:42"
55,"To feed ",fed,fed,Alimentar(se),"2021-10-07 12:48:42","2021-10-07 12:48:42"
56,"To feel ",felt,felt,sentir,"2021-10-07 12:48:42","2021-10-07 12:48:42"
57,"To fight ",fought,fought,Lutar;combater,"2021-10-07 12:48:42","2021-10-07 12:48:42"
58,"To find ",found,found,Achar;encontrar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
59,"To flee ",fled,fled,Fugir,"2021-10-07 12:48:42","2021-10-07 12:48:42"
60,"To fling ",flung,flung,Lancer;arremessar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
61,"To fly ",flew,flown,voar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
62,"To forbear ",forebore,forborne,Abster-se,"2021-10-07 12:48:42","2021-10-07 12:48:42"
63,"To forbid ",forbade,forbidden,proibir,"2021-10-07 12:48:42","2021-10-07 12:48:42"
64,"To forgive ",forgave,forgiven,perdoar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
65,"To forget ",forgot,forgotten,Esquecer(se),"2021-10-07 12:48:42","2021-10-07 12:48:42"
66,"To forsake ",forsook,forsaken,Abandoner;desamparar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
67,"To freeze ",froze,frozen,Gelar;congelar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
68,"To get ",got,Got-gotten,Ganhar;obter,"2021-10-07 12:48:42","2021-10-07 12:48:42"
69,"To gild ",Gilded-gilt,Gilded-gilt,dourar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
70,"To gird ",Girded-girt,Girded-girt,cingir,"2021-10-07 12:48:42","2021-10-07 12:48:42"
71,"To give ",gave,given,Dar;conceder,"2021-10-07 12:48:42","2021-10-07 12:48:42"
72,"To go ",went,gone,ir,"2021-10-07 12:48:42","2021-10-07 12:48:42"
73,"To grind ",ground,ground,Moer;pulverizar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
74,"To grow ",grew,grown,Crescer;cultivar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
75,"To hang ",hung,hung,Pendurar;suspender,"2021-10-07 12:48:42","2021-10-07 12:48:42"
76,"To have ",had,had,Ter;possuir,"2021-10-07 12:48:42","2021-10-07 12:48:42"
77,"To hear ",heard,heard,ouvir,"2021-10-07 12:48:42","2021-10-07 12:48:42"
78,"To hew ",hewed,Hewed-hewn,Decepar;lavrar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
79,"To hide ",hid,hidden,Esconder-ocultar(se),"2021-10-07 12:48:42","2021-10-07 12:48:42"
80,"To hit ",hit,hit,bater,"2021-10-07 12:48:42","2021-10-07 12:48:42"
81,"To hold ",held,held,Segurar;manter,"2021-10-07 12:48:42","2021-10-07 12:48:42"
82,"To hurt ",hurt,hurt,Ferir;magoar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
83,"To keep ",kept,kept,Guardar;manter;ficar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
84,"To kneel ",knelt,knelt,Ajoelhar-se,"2021-10-07 12:48:42","2021-10-07 12:48:42"
85,"To knit ",knit,knit,Unir;ligar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
86,"To know ",knew,known,Saber;conhecer,"2021-10-07 12:48:42","2021-10-07 12:48:42"
87,"To lay ",laid,laid,"Por,botar(ovos)","2021-10-07 12:48:42","2021-10-07 12:48:42"
88,"To lead ",led,led,Conduzir;comandar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
89,"To lean ",Leant-leaned,Leant-leaned,Apoiar;incliner(se),"2021-10-07 12:48:42","2021-10-07 12:48:42"
90,"To leap ",Leapt-leaped,Leapt-leaped,Saltar;pular,"2021-10-07 12:48:42","2021-10-07 12:48:42"
91,"To learn ",Learnt-learned,Learnt-learned,aprender,"2021-10-07 12:48:42","2021-10-07 12:48:42"
92,"To leave ",left,left,Deixar;abandonar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
93,"To lend ",lent,lent,emprestar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
94,"To let ",let,let,emprestar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
95,"To lie ",lay,lain,Estar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
96,"To light ",Lit-lighted,Lit-lighted,"Acender,iluminar","2021-10-07 12:48:42","2021-10-07 12:48:42"
97,"Infinitive Past ",Past,Participle,Translation,"2021-10-07 12:48:42","2021-10-07 12:48:42"
98,"To lose ",lost,lost,perder,"2021-10-07 12:48:42","2021-10-07 12:48:42"
99,"To make ",made,made,Fazer;produzir;fabricar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
100,"To mean ",meant,meant,Significar;intencionar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
101,"To meet ",met,met,encontrar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
102,"To mow ",mowed,Mowed-mown,ceifar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
103,"Must (present) ",Had,to,-,"2021-10-07 12:48:42","2021-10-07 12:48:42"
104,"To overcome ",overcame,overcome,Vencer;superar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
105,"To pay ",paid,paid,pagar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
106,"To put ",put,put,Por;colocar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
107,"To quit ",quit,quit,Desistir;abandonar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
108,"To read ",read,read,ler,"2021-10-07 12:48:42","2021-10-07 12:48:42"
109,"To rend ",rent,rent,Rasgar;despedaçar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
110,"To rid ",rid,rid,Livrar;desembaraçar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
111,"To ride ",rode,ridden,Cavalgar;passear,"2021-10-07 12:48:42","2021-10-07 12:48:42"
112,"To ring ",rang,rung,"Soar,repicar","2021-10-07 12:48:42","2021-10-07 12:48:42"
113,"To rise ",rose,risen,Nascer;surgir;elevar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
114,"To run ",ran,run,Corer;administrar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
115,"To saw ",sawed,Sawed-sawn,serrar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
116,"To say ",said,said,dizer,"2021-10-07 12:48:42","2021-10-07 12:48:42"
117,"To see ",saw,seen,ver,"2021-10-07 12:48:42","2021-10-07 12:48:42"
118,"To seek ",sought,sought,Procurer;buscar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
119,"To sell ",sold,sold,vender,"2021-10-07 12:48:42","2021-10-07 12:48:42"
120,"To send ",sent,sent,Enviar;remeter;expedir,"2021-10-07 12:48:42","2021-10-07 12:48:42"
121,"To set ",set,set,Por;fixar;arrumar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
122,"To sew ",sewed,Sewed-sewn,Costurar;coser,"2021-10-07 12:48:42","2021-10-07 12:48:42"
123,"To shake ",shook,shaken,Sacudir;agitar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
124,"shall(present) should ",-,Verbo,aux,"2021-10-07 12:48:42","2021-10-07 12:48:42"
125,"To shear ",Shore-sheared,Shorn-sheared,Tosquiar;tosar;aparar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
126,"To shed ",shed,shed,Derramar;verter,"2021-10-07 12:48:42","2021-10-07 12:48:42"
127,"To shine ",shone,shone,Brilhar;reluzir,"2021-10-07 12:48:42","2021-10-07 12:48:42"
128,"To shoe ",Shod-shoed,Shod-shoed,Ferrar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
129,"To shoot ",shot,shot,Atirar;fuzilar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
130,"To show ",showed,Showed-shown,Exibir;mostrar;expor,"2021-10-07 12:48:42","2021-10-07 12:48:42"
131,"To shrink ",shrank,shrunk,Encolher(se);retirar(se),"2021-10-07 12:48:42","2021-10-07 12:48:42"
132,"To shut ",shut,shut,Fechar;cerrar;tapar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
133,"To sing ",sang,sung,cantar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
134,"To sink ",sank,sunk,Afundar;naufragar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
135,"To sit ",sat,sat,sentar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
136,"To slay ",slew,slain,Arruinar;destruir,"2021-10-07 12:48:42","2021-10-07 12:48:42"
137,"To sleep ",slept,slept,dormir,"2021-10-07 12:48:42","2021-10-07 12:48:42"
138,"To slide ",slid,slid,Escorregar;deslizar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
139,"To sling ",slung,slung,Elevar;suspender,"2021-10-07 12:48:42","2021-10-07 12:48:42"
140,"To slink ",slunk,slunk,Safar-se;fugir,"2021-10-07 12:48:42","2021-10-07 12:48:42"
141,"To slit ",slit,slit,Fender;rachar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
142,"To smell ",Smelt-smelled,Smelt-smelled,Cheirar;suspeitar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
143,"Infinitive Past ",Past,Participle,Translation,"2021-10-07 12:48:42","2021-10-07 12:48:42"
144,"To smite ",smote,smitten,Ferir;castigar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
145,"To sow ",sowed,Sowed-sown,semear,"2021-10-07 12:48:42","2021-10-07 12:48:42"
146,"To speak ",spoke,spoken,falar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
147,"To speed ",Sped-speeded,Sped-speeded,Apressar-se;despachar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
148,"To spell ",Spelt-spelled,Spelt-spelled,soletrar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
149,"To spend ",spent,spent,Passer;gastar;consumir,"2021-10-07 12:48:42","2021-10-07 12:48:42"
150,"To spill ",Spilt-spilled,Spilt-spilled,Entornar;derramar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
151,"To spin ",spun,spun,Girar;rodar;tecer,"2021-10-07 12:48:42","2021-10-07 12:48:42"
152,"To spit ",spat,spat,cuspir,"2021-10-07 12:48:42","2021-10-07 12:48:42"
153,"To split ",split,split,Dividir;fracionar-se,"2021-10-07 12:48:42","2021-10-07 12:48:42"
154,"To spread ",spread,spread,Difundir;divulgar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
155,"To spring ",sprang,sprung,Brotar;nascer;jorrar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
156,"To stand ",stood,stood,Ficar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
157,"To steal ",stole,stolen,Furtar;,"2021-10-07 12:48:42","2021-10-07 12:48:42"
158,"To stick ",stuck,stuck,Fincar;aderir;afixar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
159,"To sting ",stung,stung,picar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
160,"To stink ","Stank,stunk",stunk,feder,"2021-10-07 12:48:42","2021-10-07 12:48:42"
161,"To strew ",strewed,"Strewed,strewn",Polvilhar;salpicar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
162,"To stride ",strode,stridden,Cavalgar;galopar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
163,"To strike ",struck,struck,Fazer,"2021-10-07 12:48:42","2021-10-07 12:48:42"
164,"To string ",strung,strung,Afinar;,"2021-10-07 12:48:42","2021-10-07 12:48:42"
165,"To strive ",strove,striven,"Procurar,competir","2021-10-07 12:48:42","2021-10-07 12:48:42"
166,"To swear ",swore,sworn,Jurar;blasfemar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
167,"To sweep ",swept,swept,varrer,"2021-10-07 12:48:42","2021-10-07 12:48:42"
168,"To swell ",swelled,"Swelled,swollen","Inchar,inflamar","2021-10-07 12:48:42","2021-10-07 12:48:42"
169,"To swim ",swam,swum,nadar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
170,"To swing ",swung,swung,balançar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
171,"To take ",took,taken,Tomar;pegar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
172,"To teach ",taught,taught,ensinar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
173,"To tear ",tore,torn,Rasgar;romper,"2021-10-07 12:48:42","2021-10-07 12:48:42"
174,"To tell ",told,told,Dizer;,"2021-10-07 12:48:42","2021-10-07 12:48:42"
175,"To think ",thought,thought,Pensar;achar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
176,"To thrive ","Throve,thrived","Thriven,thrived",Prosperar;enriquecer,"2021-10-07 12:48:42","2021-10-07 12:48:42"
177,"To throw ",threw,thrown,Arremessar;atirar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
178,"To trust ",trust,trust,Confiar;crer,"2021-10-07 12:48:42","2021-10-07 12:48:42"
179,"To tread ",trod,"Trodden,trod",pisar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
180,"To understand ",understood,understood,"Entender,","2021-10-07 12:48:42","2021-10-07 12:48:42"
181,"To undertake ",undertook,undertaken,Empreender,"2021-10-07 12:48:42","2021-10-07 12:48:42"
182,"To wake ","Woke,waked","Woke,waked","Acordar,despertar","2021-10-07 12:48:42","2021-10-07 12:48:42"
183,"To wear ",wore,worn,"Usar,","2021-10-07 12:48:42","2021-10-07 12:48:42"
184,"To weave ",wove,woven,tecer,"2021-10-07 12:48:42","2021-10-07 12:48:42"
185,"To weep ",wept,wept,"Chorar,lamentar-se","2021-10-07 12:48:42","2021-10-07 12:48:42"
186,"To wet ","Wet,wetted","Wet,wetted","Umedecer,molhar","2021-10-07 12:48:42","2021-10-07 12:48:42"
187,"will(present) would ",----,Verbo,auxiliar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
188,"To win ",won,won,"Ganhar,obter,vencer","2021-10-07 12:48:42","2021-10-07 12:48:42"
189,"To wind ",wound,wound,Dar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
190,"To wring ",wrung,wrung,"Puxar,arrancar,extorquir","2021-10-07 12:48:42","2021-10-07 12:48:42"
